Run,AGE,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,igseq_BarcodeFwd,igseq_BarcodeRev,igseq_Chain,igseq_Run,igseq_Specimen_CellCount,igseq_Specimen_CellType,igseq_Specimen,igseq_Specimen_Subject,igseq_Specimen_Timepoint,igseq_Type,Instrument,isolate,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,sex,SRA Study,tissue
SRR33160193,missing,AMPLICON,605,9286744555,PRJNA1121265,SAMN48011621,Model organism or animal,6119497052,UNIVERSITY OF PENNSYLVANIA,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28421281,uncalculated,uncalculated,missing,2,17,heavy,211203_M05588_0481_000000000-K44Y2,35014,IgG+,RMV033PREIGG,V033,-7,gamma,Illumina MiSeq,V033,RMV033PREGH,PAIRED,RACE,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2025-07-15T00:00:00Z,2025-04-16T18:55:00Z,1,RMV033PREGH,missing,SRP512417,missing
SRR33160194,missing,AMPLICON,606,2867596242,PRJNA1121265,SAMN48011620,Model organism or animal,1853214167,UNIVERSITY OF PENNSYLVANIA,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28421280,uncalculated,uncalculated,missing,6,13,light,211109_M00281_0089_000000000-JWWTL,232000,IgG+,RMT646WK16IGG,T646,16,lambda,Illumina MiSeq,T646,RMT646WK16GL3,PAIRED,RACE,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2025-07-15T00:00:00Z,2025-04-16T18:49:00Z,1,RMT646WK16GL3,missing,SRP512417,missing
SRR33160195,missing,AMPLICON,604,9357714016,PRJNA1121265,SAMN48011619,Model organism or animal,6134299068,UNIVERSITY OF PENNSYLVANIA,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28421279,uncalculated,uncalculated,missing,3,18,heavy,211109_M00281_0089_000000000-JWWTL,560000,IgG+,RM40591WK88IGG,40591,88,gamma,Illumina MiSeq,40591,RM40591WK88GH3,PAIRED,RACE,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2025-07-15T00:00:00Z,2025-04-16T18:52:00Z,1,RM40591WK88GH3,missing,SRP512417,missing
SRR33160196,missing,AMPLICON,606,1653578262,PRJNA1121265,SAMN48011618,Model organism or animal,1162056144,UNIVERSITY OF PENNSYLVANIA,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28421278,uncalculated,uncalculated,missing,6,13,light,211105_M00281_0088_000000000-JY4T3,232000,IgG+,RMT646WK16IGG,T646,16,lambda,Illumina MiSeq,T646,RMT646WK16GL2,PAIRED,RACE,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2025-07-15T00:00:00Z,2025-04-16T18:49:00Z,1,RMT646WK16GL2,missing,SRP512417,missing
SRR33160197,missing,AMPLICON,606,6093814800,PRJNA1121265,SAMN48011617,Model organism or animal,4094058838,UNIVERSITY OF PENNSYLVANIA,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28421277,uncalculated,uncalculated,missing,6,9,light,211105_M00281_0088_000000000-JY4T3,560000,IgG+,RM40591WK88IGG,40591,88,kappa,Illumina MiSeq,40591,RM40591WK88GK4,PAIRED,RACE,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2025-07-15T00:00:00Z,2025-04-16T18:51:00Z,1,RM40591WK88GK4,missing,SRP512417,missing
SRR33160198,missing,AMPLICON,604,2026136724,PRJNA1121265,SAMN48011616,Model organism or animal,1613789454,UNIVERSITY OF PENNSYLVANIA,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28421276,uncalculated,uncalculated,missing,3,18,heavy,211105_M05588_0469_000000000-JWV49,560000,IgG+,RM40591WK88IGG,40591,88,gamma,Illumina MiSeq,40591,RM40591WK88GH2,PAIRED,RACE,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2025-07-15T00:00:00Z,2025-04-16T18:49:00Z,1,RM40591WK88GH2,missing,SRP512417,missing
SRR33160199,missing,AMPLICON,606,1051646340,PRJNA1121265,SAMN48011615,Model organism or animal,700519372,UNIVERSITY OF PENNSYLVANIA,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28421275,uncalculated,uncalculated,missing,6,9,light,210916_M05588_0456_000000000-JWWTJ,560000,IgG+,RM40591WK88IGG,40591,88,kappa,Illumina MiSeq,40591,RM40591WK88GK3,PAIRED,RACE,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2025-07-15T00:00:00Z,2025-04-16T18:49:00Z,1,RM40591WK88GK3,missing,SRP512417,missing
SRR33160200,missing,AMPLICON,602,2694762700,PRJNA1121265,SAMN48011614,Model organism or animal,1901300627,UNIVERSITY OF PENNSYLVANIA,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28421274,uncalculated,uncalculated,missing,5,13,light,210916_M05588_0456_000000000-JWWTJ,186000,IgG+,RM41328WK64IGG,41328,64,lambda,Illumina MiSeq,41328,RM41328WK64GL3,PAIRED,RACE,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2025-07-15T00:00:00Z,2025-04-16T18:50:00Z,1,RM41328WK64GL3,missing,SRP512417,missing
SRR33160201,missing,AMPLICON,603,5482222137,PRJNA1121265,SAMN48011613,Model organism or animal,3688269765,UNIVERSITY OF PENNSYLVANIA,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28421273,uncalculated,uncalculated,missing,4,8,light,210916_M05588_0456_000000000-JWWTJ,91000,IgG+,RM6070WK16IGG,6070,16,kappa,Illumina MiSeq,6070,RM6070WK16GK3,PAIRED,RACE,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2025-07-15T00:00:00Z,2025-04-16T18:51:00Z,1,RM6070WK16GK3,missing,SRP512417,missing
SRR33160202,missing,AMPLICON,606,399516408,PRJNA1121265,SAMN48011612,Model organism or animal,218187610,UNIVERSITY OF PENNSYLVANIA,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28421272,uncalculated,uncalculated,missing,6,9,light,210806_M05588_0442_000000000-JVB6K,560000,IgG+,RM40591WK88IGG,40591,88,kappa,Illumina MiSeq,40591,RM40591WK88GK,PAIRED,RACE,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2025-07-15T00:00:00Z,2025-04-16T18:48:00Z,1,RM40591WK88GK,missing,SRP512417,missing
