sample_name	sample_title	organism	isolate	collection_date	geo_loc_name	sex	tissue	age	igseq_BarcodeFwd	igseq_BarcodeRev	igseq_Chain	igseq_Type	igseq_Run	igseq_Specimen	igseq_Specimen_Subject	igseq_Specimen_Timepoint	igseq_Specimen_CellCount	igseq_Specimen_CellType
RM6561WK88H	Rhesus macaque 6561 week 88 heavy chain (mu) antibody reads from 89000 IgM+ cells	Macaca mulatta	6561	missing	missing	missing	missing	missing	1	16	heavy	mu	191220_M05588_0264_000000000-CN8JR	RM6561WK88IGM	6561	88	89000	IgM+
RM6561WK88L	Rhesus macaque 6561 week 88 light chain (lambda) antibody reads from 89000 IgM+ cells	Macaca mulatta	6561	missing	missing	missing	missing	missing	4	15	light	lambda	191220_M05588_0264_000000000-CN8JR	RM6561WK88IGM	6561	88	89000	IgM+
RM6561WK104GH	Rhesus macaque 6561 week 104 heavy chain (gamma) antibody reads from 120000 IgG+ cells	Macaca mulatta	6561	missing	missing	missing	missing	missing	3	18	heavy	gamma	200904_M05588_0331_000000000-J6442	RM6561WK104IGG	6561	104	120000	IgG+
RM6561WK104GL	Rhesus macaque 6561 week 104 light chain (lambda) antibody reads from 120000 IgG+ cells	Macaca mulatta	6561	missing	missing	missing	missing	missing	8	13	light	lambda	200904_M05588_0331_000000000-J6442	RM6561WK104IGG	6561	104	120000	IgG+
RM6561WK104GH2	Rhesus macaque 6561 week 104 heavy chain (gamma) antibody reads from 120000 IgG+ cells	Macaca mulatta	6561	missing	missing	missing	missing	missing	3	18	heavy	gamma	200911_M00281_0631_000000000-J6446	RM6561WK104IGG	6561	104	120000	IgG+
RM6561WK104GL2	Rhesus macaque 6561 week 104 light chain (lambda) antibody reads from 120000 IgG+ cells	Macaca mulatta	6561	missing	missing	missing	missing	missing	8	13	light	lambda	200911_M00281_0631_000000000-J6446	RM6561WK104IGG	6561	104	120000	IgG+
RM40591WK96MH	Rhesus macaque 40591 week 96 heavy chain (mu) antibody reads from 320000 IgM+ cells	Macaca mulatta	40591	missing	missing	missing	missing	missing	5	18	heavy	mu	200925_M00281_0636_000000000-J9NFC	RM40591WK96IGM	40591	96	320000	IgM+
RM40591WK96ML	Rhesus macaque 40591 week 96 light chain (kappa) antibody reads from 320000 IgM+ cells	Macaca mulatta	40591	missing	missing	missing	missing	missing	2	8	light	kappa	200925_M05588_0337_000000000-J9FWN	RM40591WK96IGM	40591	96	320000	IgM+
RM40591WK96MH2	Rhesus macaque 40591 week 96 heavy chain (mu) antibody reads from 320000 IgM+ cells	Macaca mulatta	40591	missing	missing	missing	missing	missing	5	18	heavy	mu	201013_M05588_0340_000000000-J9M9L	RM40591WK96IGM	40591	96	320000	IgM+
RM6561WK104GH3	Rhesus macaque 6561 week 104 heavy chain (gamma) antibody reads from 120000 IgG+ cells	Macaca mulatta	6561	missing	missing	missing	missing	missing	1	17	heavy	gamma	201207_M05588_0357_000000000-JF895	RM6561WK104IGG	6561	104	120000	IgG+
